,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,RH
24,2007-05-25,70,56,63,1,44,53,2,0,0.0,29.51,30.24,4.9,5,8.8,50.0
25,2007-05-26,65,49,57,-5,55,56,8,0,1.01,29.36,30.11,2.8,17,7.2,93.1
26,2007-05-27,75,57,66,4,47,56,0,1,0.04,29.34,30.06,8.9,26,9.5,50.1
27,2007-05-28,79,50,65,2,47,56,0,0,0.0,29.43,30.15,4.8,10,5.3,52.1
28,2007-05-29,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,57.3
29,2007-05-30,87,66,77,13,58,65,0,12,0.0,29.31,30.04,10.3,19,10.6,51.8
30,2007-05-31,78,65,72,8,61,65,0,7,0.01,29.28,30.0,9.3,19,9.9,68.4
31,2007-06-01,85,62,74,10,63,66,0,9,0.19,29.19,29.91,4.2,17,6.4,68.6
32,2007-06-02,81,65,73,9,63,67,0,8,0.04,29.03,29.77,6.5,22,7.4,70.7
33,2007-06-03,78,62,70,6,60,63,0,5,0.01,28.82,29.56,5.2,25,6.7,70.8
34,2007-06-04,71,58,65,1,58,60,0,0,0.39,28.82,29.52,7.8,31,9.7,78.0
35,2007-06-05,64,47,56,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,74.7
36,2007-06-06,71,44,58,-8,48,55,7,0,0.01,29.07,29.81,10.8,17,11.4,69.5
37,2007-06-07,91,71,81,15,62,69,0,16,0.0,28.84,29.55,22.7,20,23.1,52.7
38,2007-06-08,81,57,69,3,53,61,0,4,0.0,29.18,29.85,10.9,28,13.8,56.7
39,2007-06-09,79,52,66,0,47,57,0,1,0.0,29.36,30.07,0.3,33,5.0,50.1
40,2007-06-10,81,55,68,1,51,59,0,3,0.0,29.34,30.05,4.8,17,5.6,54.7
41,2007-06-11,86,58,72,5,52,61,0,7,0.0,29.41,30.11,4.9,11,6.9,49.4
42,2007-06-12,83,62,73,5,50,60,0,8,0.0,29.44,30.16,8.3,5,8.8,44.2
43,2007-06-13,87,60,74,6,53,62,0,9,0.0,29.36,30.09,7.2,5,8.6,48.0
44,2007-06-14,89,64,77,9,55,64,0,12,0.0,29.3,30.02,5.6,5,6.8,46.6
45,2007-06-15,91,63,77,9,56,64,0,12,0.0,29.28,29.99,4.1,6,4.9,48.2
46,2007-06-16,93,66,80,11,60,67,0,15,0.0,29.26,29.97,4.8,28,5.8,50.6
47,2007-06-17,91,70,81,12,64,70,0,16,0.0,29.23,29.95,2.8,11,6.3,56.5
48,2007-06-18,89,69,79,9,65,70,0,14,0.28,29.12,29.84,14.0,20,15.1,62.2
49,2007-06-19,80,65,73,3,55,63,0,8,0.58,29.26,29.95,10.7,28,11.4,53.2
50,2007-06-20,84,61,73,3,52,61,0,8,0.0,29.39,30.1,7.8,27,8.8,47.6
51,2007-06-21,77,61,69,-1,51,60,0,4,0.01,29.36,30.08,3.5,3,10.7,52.7
52,2007-06-22,76,61,69,-1,50,58,0,4,0.0,29.33,30.06,7.8,6,8.7,50.6
53,2007-06-23,67,62,65,-5,58,61,0,0,0.05,29.23,29.96,7.6,12,9.0,78.0
54,2007-06-24,77,63,70,-1,62,65,0,5,0.0,29.26,29.97,7.0,9,8.0,76.0
55,2007-06-25,89,65,77,6,66,70,0,12,0.0,29.38,30.07,3.9,14,6.8,68.9
56,2007-06-26,92,70,81,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,67.2
57,2007-06-27,91,71,81,10,70,72,0,16,0.15,29.29,30.02,7.5,24,8.8,69.3
58,2007-06-28,74,58,66,-5,55,60,0,1,0.0,29.41,30.09,11.9,3,12.5,67.7
59,2007-06-29,70,56,63,-8,55,59,2,0,0.0,29.41,30.13,7.6,2,8.3,75.3
60,2007-06-30,79,54,67,-5,46,56,0,2,0.0,29.41,30.13,4.9,3,5.8,47.0
61,2007-07-01,75,54,65,-7,52,58,0,0,0.0,29.51,30.23,8.6,4,8.6,62.8
62,2007-07-02,79,53,66,-6,50,58,0,1,0.0,29.49,30.22,5.9,14,8.1,56.2
63,2007-07-03,83,60,72,0,57,63,0,7,0.4,29.31,30.06,6.7,21,7.3,59.3
64,2007-07-04,86,67,77,5,65,69,0,12,0.16,29.18,29.9,4.6,27,8.2,66.4
65,2007-07-05,89,71,80,8,60,67,0,15,0.0,29.24,29.94,6.4,31,8.1,50.6
66,2007-07-06,86,66,76,4,57,64,0,11,0.0,29.32,30.03,3.2,5,5.5,51.9
67,2007-07-07,90,64,77,5,63,69,0,12,0.0,29.18,29.91,8.4,22,8.6,61.9
68,2007-07-08,94,75,85,12,67,72,0,20,0.0,29.05,29.77,12.9,24,13.1,54.9
69,2007-07-09,94,70,82,9,66,70,0,17,0.3,29.11,29.8,4.9,24,8.8,58.4
70,2007-07-10,89,69,79,6,67,70,0,14,0.43,29.06,29.77,8.6,23,10.5,66.6
71,2007-07-11,77,62,70,-3,51,59,0,5,0.0,29.23,29.93,8.8,30,10.9,51.1
72,2007-07-12,80,61,71,-2,51,59,0,6,0.0,29.22,29.93,9.4,29,11.1,49.2
73,2007-07-13,78,58,68,-5,52,58,0,3,0.0,29.26,29.98,1.4,1,5.3,56.5
74,2007-07-14,84,61,73,0,55,62,0,8,0.0,29.08,29.79,8.3,26,13.2,53.2
75,2007-07-15,82,60,71,-3,53,61,0,6,0.0,29.19,29.89,2.1,29,4.9,53.0
76,2007-07-16,82,65,74,0,60,65,0,9,0.39,29.25,29.96,4.4,24,5.2,61.9
77,2007-07-17,83,68,76,2,66,69,0,11,0.11,29.18,29.9,5.2,23,6.5,71.4
78,2007-07-18,85,69,77,3,68,71,0,12,1.55,29.11,29.84,9.1,24,10.1,73.8
79,2007-07-19,83,63,73,-1,63,66,0,8,0.16,29.21,29.9,7.0,1,11.9,70.7
80,2007-07-20,75,58,67,-7,53,59,0,2,0.0,29.44,30.14,8.6,3,9.1,61.0
81,2007-07-21,74,58,66,-8,52,58,0,1,0.0,29.51,30.22,6.5,3,7.4,60.5
82,2007-07-22,81,58,70,-4,55,61,0,5,0.0,29.49,30.21,1.7,16,3.3,59.1
83,2007-07-23,83,60,72,-2,55,63,0,7,0.0,29.37,30.1,3.2,9,4.0,55.2
84,2007-07-24,82,65,74,0,58,64,0,9,0.0,29.32,30.04,3.1,20,5.2,57.3
85,2007-07-25,85,71,78,4,61,67,0,13,0.0,29.29,30.0,5.8,25,6.6,55.7
86,2007-07-26,83,66,75,1,65,68,0,10,0.19,29.19,29.92,7.2,22,9.4,70.9
87,2007-07-27,83,70,77,3,68,70,0,12,0.17,29.11,29.82,3.0,3,7.9,73.8
88,2007-07-28,80,66,73,-1,65,68,0,8,0.0,29.23,29.93,10.0,3,10.2,75.8
89,2007-07-29,85,63,74,0,57,64,0,9,0.0,29.28,29.99,4.8,5,5.7,55.5
90,2007-07-30,89,62,76,2,55,64,0,11,0.0,29.33,30.03,3.8,6,4.3,48.3
91,2007-07-31,91,68,80,6,61,68,0,15,0.0,29.33,30.04,3.3,4,4.9,52.2
92,2007-08-01,92,69,81,8,62,69,0,16,0.0,29.29,30.0,3.5,9,4.1,52.7
93,2007-08-02,91,70,81,8,66,71,0,16,0.0,29.26,29.97,5.5,26,5.9,60.5
94,2007-08-03,90,69,80,7,56,66,0,15,0.0,29.31,30.02,2.7,3,5.7,43.6
95,2007-08-04,81,64,73,0,58,64,0,8,0.03,29.31,30.03,5.7,8,6.1,59.1
96,2007-08-05,88,67,78,5,71,73,0,13,1.43,29.08,29.81,5.4,21,9.6,79.0
97,2007-08-06,88,74,81,8,72,74,0,16,0.26,29.13,29.83,1.6,10,4.9,74.1
98,2007-08-07,91,72,82,9,73,76,0,17,1.31,29.06,29.76,6.2,25,9.0,74.2
99,2007-08-08,87,73,80,7,71,73,0,15,0.06,29.13,29.83,3.0,3,6.9,74.1
100,2007-08-09,84,72,78,5,71,73,0,13,0.05,29.13,29.84,2.5,29,6.0,79.0
101,2007-08-10,86,70,78,5,68,72,0,13,0.0,29.26,29.96,4.5,2,5.9,71.2
102,2007-08-11,89,67,78,5,65,70,0,13,0.0,29.31,30.02,3.2,19,3.9,64.0
103,2007-08-12,88,67,78,5,67,71,0,13,0.29,29.34,30.06,1.7,6,5.4,68.6
104,2007-08-13,81,65,73,0,57,64,0,8,0.0,29.39,30.11,6.2,6,6.9,57.2
105,2007-08-14,84,65,75,3,67,70,0,10,0.41,29.23,29.93,5.9,25,8.0,75.9
106,2007-08-15,80,71,76,4,67,70,0,11,0.23,29.17,29.89,3.4,7,5.8,73.7
107,2007-08-16,77,65,71,-1,64,67,0,6,0.0,29.28,29.97,3.6,1,5.7,78.5
108,2007-08-17,79,60,70,-2,54,61,0,5,0.0,29.41,30.1,5.9,32,6.8,56.8
109,2007-08-18,68,59,64,-8,54,58,1,0,0.09,29.44,30.16,6.4,12,8.1,69.7
110,2007-08-19,68,62,65,-6,62,64,0,0,1.33,29.24,29.99,6.0,10,7.4,90.4
111,2007-08-20,78,68,73,2,68,69,0,8,0.91,29.15,29.87,0.5,12,5.7,84.2
112,2007-08-21,87,69,78,7,70,72,0,13,0.0,29.21,29.91,3.8,18,6.0,76.2
113,2007-08-22,90,69,80,9,71,73,0,15,0.37,29.23,29.94,5.3,21,9.5,74.1
114,2007-08-23,87,69,78,7,69,71,0,13,2.35,29.15,29.87,9.6,21,11.7,73.9
115,2007-08-24,80,69,75,4,67,69,0,10,0.24,29.11,29.82,5.8,25,7.1,75.9
116,2007-08-25,79,64,72,2,63,66,0,7,0.34,29.23,29.93,3.0,36,5.6,73.3
117,2007-08-26,79,60,70,0,55,61,0,5,0.0,29.38,30.08,3.6,11,5.4,59.1
118,2007-08-27,79,60,70,0,60,64,0,5,0.0,29.36,30.07,6.5,17,7.4,70.8
119,2007-08-28,91,67,79,9,66,70,0,14,0.0,29.28,29.99,9.0,20,9.5,64.5
120,2007-08-29,85,68,77,7,65,69,0,12,0.0,29.34,30.04,5.6,3,8.2,66.4
121,2007-08-30,75,57,66,-4,54,60,0,1,0.0,29.47,30.18,9.1,2,9.9,65.1
122,2007-08-31,77,57,67,-2,52,59,0,2,0.0,29.47,30.19,3.9,4,5.2,58.7
123,2007-09-01,81,57,69,1,55,61,0,4,0.0,29.49,30.22,4.2,11,5.0,60.9
124,2007-09-02,85,61,73,5,57,63,0,8,0.0,29.41,30.15,4.2,21,5.0,57.2
125,2007-09-03,88,66,77,9,61,67,0,12,0.0,29.36,30.09,2.0,27,5.8,57.7
126,2007-09-04,89,63,76,8,60,66,0,11,0.0,29.28,30.0,2.8,22,4.3,58.0
127,2007-09-05,90,66,78,11,63,69,0,13,0.0,29.24,29.96,6.4,19,6.5,59.7
128,2007-09-06,82,73,78,11,67,70,0,13,0.18,29.21,29.92,11.9,20,12.1,68.6
129,2007-09-07,84,70,77,10,68,70,0,12,0.19,29.15,29.85,10.4,23,13.9,73.8
130,2007-09-08,78,64,71,5,57,63,0,6,0.0,29.3,30.0,6.0,5,7.2,61.2
131,2007-09-09,80,63,72,6,59,63,0,7,0.0,29.36,30.06,9.2,3,9.9,63.7
132,2007-09-10,74,54,64,-2,58,60,1,0,0.36,29.3,30.04,7.2,2,9.0,80.5
133,2007-09-11,71,50,61,-4,44,52,4,0,0.0,29.2,29.92,11.7,29,13.5,53.6
134,2007-09-12,67,46,57,-8,42,49,8,0,0.0,29.4,30.12,1.8,3,5.6,57.3
135,2007-09-13,78,50,64,-1,45,54,1,0,0.0,29.23,29.99,8.3,19,8.5,49.8
136,2007-09-14,66,45,56,-8,39,48,9,0,0.0,29.36,30.05,12.1,32,13.4,52.9
137,2007-09-15,61,39,50,-14,33,43,15,0,0.0,29.56,30.28,1.4,33,5.9,52.0
138,2007-09-16,71,44,58,-6,40,49,7,0,0.0,29.46,30.19,6.8,18,7.4,51.0
139,2007-09-17,80,52,66,2,49,57,0,1,0.0,29.39,30.12,11.7,17,12.1,54.0
140,2007-09-18,88,63,76,12,58,65,0,11,0.0,29.34,30.06,12.9,19,13.1,53.6
141,2007-09-19,84,65,75,12,59,65,0,10,0.0,29.41,30.11,5.0,26,9.7,57.5
142,2007-09-20,78,60,69,7,59,63,0,4,0.0,29.39,30.12,5.3,7,6.6,70.3
143,2007-09-21,88,64,76,14,59,66,0,11,0.0,29.18,29.9,10.3,21,12.4,55.8
144,2007-09-22,74,51,63,1,43,53,2,0,0.0,29.42,30.12,2.6,3,6.8,48.0
145,2007-09-23,84,50,67,6,50,58,0,2,0.0,29.43,30.16,4.6,13,5.3,54.5
146,2007-09-24,90,68,79,18,63,68,0,14,0.0,29.27,29.99,11.4,19,11.9,58.0
147,2007-09-25,85,63,74,13,65,69,0,9,0.27,29.23,29.95,7.9,23,10.5,73.5
148,2007-09-26,69,53,61,1,50,55,4,0,0.09,29.31,30.03,4.3,1,6.6,67.1
149,2007-09-27,75,49,62,2,49,55,3,0,0.0,29.26,29.97,4.9,24,6.5,62.0
150,2007-09-28,73,53,63,4,46,53,2,0,0.0,29.47,30.17,2.3,4,7.1,53.9
151,2007-09-29,80,50,65,6,46,55,0,0,0.0,29.5,30.23,9.5,17,9.8,50.3
152,2007-09-30,83,59,71,12,49,59,0,6,0.14,29.36,30.1,14.4,19,14.6,45.4
153,2007-10-01,69,59,64,6,59,61,1,0,0.29,29.28,30.0,6.1,22,8.1,83.7
154,2007-10-02,78,57,68,10,59,63,0,3,0.09,29.18,29.92,10.8,19,11.1,72.9
155,2007-10-03,74,55,65,8,48,56,0,0,0.0,29.28,29.98,5.9,26,7.1,54.2
156,2007-10-04,82,51,67,10,56,61,0,2,0.0,29.34,30.04,3.9,17,4.6,67.8
157,2007-10-05,84,62,73,16,65,68,0,8,0.0,29.36,30.08,7.0,17,7.0,75.8
158,2007-10-06,87,69,78,22,67,70,0,13,0.0,29.33,30.04,6.9,20,7.4,68.6
159,2007-10-07,87,67,77,21,66,70,0,12,0.0,29.31,30.03,5.2,19,5.9,68.9
160,2007-10-08,87,60,74,18,61,66,0,9,0.0,29.23,29.93,7.7,24,10.1,63.9
161,2007-10-09,76,49,63,8,44,53,2,0,0.0,29.21,29.94,11.5,28,12.8,50.0
162,2007-10-10,54,47,51,-4,38,44,14,0,0.0,29.21,29.93,15.1,31,15.5,60.6
163,2007-10-11,54,46,50,-4,39,45,15,0,0.0,29.28,30.01,11.9,36,12.9,65.8
164,2007-10-12,56,41,49,-5,35,43,16,0,0.0,29.28,30.02,3.4,35,4.6,58.6
165,2007-10-13,59,40,50,-3,41,47,15,0,0.0,29.31,30.04,2.7,20,3.5,71.1
166,2007-10-14,61,53,57,4,49,53,8,0,0.15,29.34,30.06,5.6,11,6.6,74.3
167,2007-10-15,74,51,63,10,52,57,2,0,0.07,29.21,29.95,4.1,14,5.6,67.3
168,2007-10-16,67,52,60,8,54,57,5,0,0.24,29.16,29.88,6.4,21,7.5,80.2
169,2007-10-17,72,47,60,8,53,57,5,0,0.04,29.07,29.83,9.3,14,9.8,77.6
170,2007-10-18,78,59,69,18,56,61,0,4,0.3,28.59,29.34,17.2,19,18.9,62.9
171,2007-10-19,60,52,56,5,48,52,9,0,0.01,28.75,29.44,16.2,24,16.7,74.7
172,2007-10-20,73,47,60,10,43,52,5,0,0.0,29.02,29.71,10.9,21,12.0,53.2
173,2007-10-21,80,60,70,20,47,57,0,5,0.0,29.08,29.78,18.0,20,18.2,43.8
174,2007-10-22,67,46,57,7,47,50,8,0,0.16,29.26,29.97,5.2,36,9.2,69.0
175,2007-10-23,58,43,51,2,36,44,14,0,0.0,29.2,29.93,5.2,31,8.2,56.1
176,2007-10-24,55,43,49,0,35,42,16,0,0.0,29.46,30.16,13.3,2,14.5,58.6
177,2007-10-25,55,45,50,2,39,46,15,0,0.0,29.47,30.2,13.9,6,14.1,65.8
178,2007-10-26,65,53,59,11,48,52,6,0,0.33,29.31,30.07,6.2,5,6.9,66.9
179,2007-10-27,55,37,46,-2,38,45,19,0,0.01,29.56,30.25,9.4,32,9.9,73.2
180,2007-10-28,56,34,45,-2,30,39,20,0,0.0,29.79,30.52,3.4,23,4.2,55.6
181,2007-10-29,61,39,50,3,32,42,15,0,0.0,29.63,30.4,10.2,22,10.4,49.8
182,2007-10-30,66,41,54,8,38,46,11,0,0.0,29.43,30.2,12.2,20,12.5,54.5
183,2007-10-31,62,41,52,6,37,46,13,0,0.0,29.3,30.02,12.2,25,14.3,56.6
184,2008-05-01,74,48,61,8,51,56,4,0,0.0,28.95,29.67,10.6,16,11.5,69.9
185,2008-05-02,74,51,63,9,55,58,2,0,1.28,28.79,29.53,13.8,20,15.1,75.3
186,2008-05-03,56,43,50,-4,41,46,15,0,0.0,29.01,29.69,10.4,25,12.7,71.1
187,2008-05-04,65,38,52,-2,34,45,13,0,0.0,29.31,30.02,5.6,24,6.3,50.1
188,2008-05-05,75,50,63,8,38,50,2,0,0.0,29.27,29.99,4.4,26,7.0,39.5
189,2008-05-06,81,46,64,9,44,55,1,0,0.0,29.16,29.88,6.3,22,7.1,48.2
190,2008-05-07,70,49,60,5,52,56,5,0,0.76,28.97,29.69,3.5,23,12.3,74.6
191,2008-05-08,59,45,52,-4,35,44,13,0,0.0,29.08,29.82,12.2,5,12.6,52.3
192,2008-05-09,58,41,50,-6,34,43,15,0,0.0,29.15,29.85,6.3,3,6.9,53.9
193,2008-05-10,61,38,50,-6,37,45,15,0,0.0,29.08,29.85,5.9,7,6.3,60.9
194,2008-05-11,58,46,52,-5,43,47,13,0,0.95,28.85,29.55,14.5,2,17.7,71.3
195,2008-05-12,56,40,48,-9,38,43,17,0,0.0,29.26,29.96,5.1,7,7.8,67.9
196,2008-05-13,73,40,57,-1,45,51,8,0,0.08,29.2,29.93,15.5,18,15.9,64.0
197,2008-05-14,64,45,55,-3,48,52,10,0,0.02,29.19,29.89,2.0,25,9.6,77.2
198,2008-05-15,57,43,50,-8,37,45,15,0,0.0,29.33,30.05,6.8,5,7.9,60.9
199,2008-05-16,73,40,57,-2,41,50,8,0,0.0,29.1,29.86,8.9,25,9.4,55.0
200,2008-05-17,73,52,63,4,41,52,2,0,0.12,28.87,29.61,12.9,30,14.7,44.5
201,2008-05-18,55,44,50,-10,39,45,15,0,0.0,28.93,29.64,3.5,34,8.2,65.8
202,2008-05-19,60,40,50,-10,33,43,15,0,0.0,28.96,29.69,3.9,7,5.7,52.0
203,2008-05-20,66,47,57,-4,37,47,8,0,0.0,28.94,29.66,7.3,31,9.2,47.1
204,2008-05-21,66,41,54,-7,36,46,11,0,0.0,29.0,29.7,7.2,32,9.2,50.4
205,2008-05-22,59,45,52,-9,38,45,13,0,0.0,29.24,29.94,8.8,5,9.8,58.6
206,2008-05-23,57,46,52,-9,39,45,13,0,0.0,29.41,30.12,10.7,3,10.9,61.2
207,2008-05-24,67,40,54,-8,40,48,11,0,0.0,29.44,30.18,7.4,7,8.4,58.9
208,2008-05-25,78,44,61,-1,50,57,4,0,0.0,29.18,29.93,10.3,18,11.9,67.1
209,2008-05-26,81,47,64,2,60,64,1,0,0.48,29.11,29.81,6.2,25,11.8,87.0
210,2008-05-27,50,42,46,-16,35,42,19,0,0.0,29.5,30.19,19.2,3,19.3,65.3
211,2008-05-28,62,43,53,-10,32,43,12,0,0.0,29.6,30.34,8.2,6,8.7,44.5
212,2008-05-29,67,42,55,-9,37,47,10,0,0.01,29.39,30.16,3.5,11,4.2,50.6
213,2008-05-30,77,55,66,2,59,62,0,1,0.4,29.03,29.79,8.4,21,10.4,78.1
214,2008-05-31,79,59,69,5,56,62,0,4,0.0,29.1,29.8,10.8,28,11.9,62.9
215,2008-06-01,74,53,64,0,47,55,1,0,0.0,29.23,29.95,4.6,10,5.4,53.7
216,2008-06-02,86,56,71,7,52,60,0,6,0.0,29.16,29.89,1.9,8,4.8,50.9
217,2008-06-03,69,55,62,-2,55,57,3,0,0.52,28.97,29.69,7.3,4,9.2,77.8
218,2008-06-04,78,54,66,2,59,61,0,1,0.0,28.9,29.62,4.5,4,5.2,78.1
219,2008-06-05,87,60,74,9,68,71,0,9,0.64,29.0,29.7,11.5,20,14.0,81.7
220,2008-06-06,87,73,80,14,68,72,0,15,0.0,29.07,29.76,21.1,20,21.5,66.7
221,2008-06-07,85,69,77,11,71,73,0,12,0.11,29.16,29.86,12.5,19,13.2,81.9
222,2008-06-08,85,64,75,9,68,70,0,10,1.24,29.11,29.81,6.5,18,12.2,78.8
223,2008-06-09,74,65,70,4,64,66,0,5,0.14,29.1,29.82,6.3,22,7.7,81.4
224,2008-06-10,79,59,69,2,56,61,0,4,0.0,29.18,29.89,8.8,25,9.6,62.9
225,2008-06-11,86,61,74,7,56,64,0,9,0.0,29.28,29.99,8.9,18,10.0,53.4
226,2008-06-12,91,73,82,14,63,69,0,17,0.0,29.2,29.9,16.1,18,16.3,52.5
227,2008-06-13,82,65,74,6,62,66,0,9,0.39,29.21,29.92,8.9,22,9.9,66.4
228,2008-06-14,84,59,72,4,53,61,0,7,0.0,29.23,29.94,8.3,24,8.8,51.4
229,2008-06-15,81,61,71,3,60,64,0,6,0.18,29.15,29.84,8.1,24,9.8,68.3
230,2008-06-16,72,59,66,-3,49,57,0,1,0.0,29.2,29.91,10.7,31,11.2,54.0
231,2008-06-17,76,55,66,-3,46,55,0,1,0.0,29.26,29.97,10.7,30,11.2,48.5
232,2008-06-18,77,56,67,-3,48,56,0,2,0.0,29.21,29.92,4.8,3,7.3,50.6
233,2008-06-19,81,52,67,-3,46,56,0,2,0.0,29.21,29.93,1.8,25,5.1,47.0
234,2008-06-20,82,58,70,0,53,60,0,5,0.09,29.25,29.96,6.7,22,7.9,54.9
235,2008-06-21,82,61,72,2,52,61,0,7,0.01,29.24,29.95,7.1,29,7.8,49.4
236,2008-06-22,82,57,70,0,52,59,0,5,0.16,29.18,29.89,2.9,31,5.1,52.8
237,2008-06-23,77,56,67,-3,54,59,0,2,0.0,29.33,30.04,3.9,4,6.4,63.1
238,2008-06-24,82,55,69,-2,53,60,0,4,0.0,29.44,30.15,5.1,18,5.8,56.7
239,2008-06-25,79,66,73,2,64,67,0,8,0.08,29.28,29.99,8.0,22,9.3,73.4
240,2008-06-26,86,70,78,7,66,70,0,13,0.0,29.15,29.86,6.3,26,7.3,66.5
241,2008-06-27,84,66,75,4,67,70,0,10,0.0,29.05,29.76,6.7,22,7.4,75.9
242,2008-06-28,83,64,74,3,55,63,0,9,0.04,28.98,29.69,12.1,25,13.2,51.7
243,2008-06-29,75,60,68,-3,58,61,0,3,0.58,29.08,29.77,7.3,31,9.7,70.1
244,2008-06-30,80,59,70,-2,50,58,0,5,0.0,29.28,29.98,6.0,34,9.6,49.1
245,2008-07-01,83,58,71,-1,51,60,0,6,0.0,29.24,29.97,8.1,24,8.0,49.2
246,2008-07-02,87,63,75,3,62,66,0,10,0.2,29.09,29.79,8.7,23,13.2,64.1
247,2008-07-03,71,55,63,-9,51,57,2,0,0.0,29.34,30.04,11.6,3,12.0,65.1
248,2008-07-04,76,52,64,-8,50,57,1,0,0.0,29.35,30.06,6.0,5,6.6,60.3
249,2008-07-05,80,54,67,-5,52,59,0,2,0.0,29.31,30.03,4.6,7,7.0,58.7
250,2008-07-06,87,59,73,1,57,65,0,8,0.0,29.21,29.94,9.3,19,9.4,57.2
251,2008-07-07,87,71,79,7,67,71,0,14,0.03,29.16,29.87,10.9,22,11.9,66.6
252,2008-07-08,85,70,78,5,67,71,0,13,0.03,29.1,29.81,7.8,26,9.1,68.6
253,2008-07-09,85,67,76,3,55,63,0,11,0.0,29.26,29.95,9.5,31,10.3,48.3
254,2008-07-10,82,64,73,0,63,66,0,8,0.72,29.26,29.99,8.5,23,9.2,70.7
255,2008-07-11,88,64,76,3,65,69,0,11,0.34,29.23,29.97,5.2,20,8.4,68.8
256,2008-07-12,81,65,73,0,63,66,0,8,0.73,29.19,29.89,7.7,26,10.3,70.7
257,2008-07-13,79,62,71,-2,54,61,0,6,0.0,29.12,29.84,12.1,27,12.4,54.7
258,2008-07-14,84,62,73,0,54,62,0,8,0.0,29.22,29.92,4.5,29,7.8,51.2
259,2008-07-15,90,61,76,2,62,68,0,11,0.0,29.3,30.0,6.8,23,7.4,62.2
260,2008-07-16,90,71,81,7,66,70,0,16,0.0,29.39,30.09,5.0,23,7.2,60.5
261,2008-07-17,89,71,80,6,66,71,0,15,0.0,29.33,30.05,8.6,22,9.0,62.3
262,2008-07-18,86,74,80,6,68,72,0,15,0.04,29.24,29.95,2.6,22,5.4,66.7
263,2008-07-19,78,67,73,-1,68,69,0,8,1.61,29.19,29.91,2.0,33,5.8,84.2
264,2008-07-20,86,68,77,3,68,71,0,12,0.74,29.2,29.91,4.5,25,5.7,73.8
265,2008-07-21,83,68,76,2,65,68,0,11,0.13,29.21,29.92,3.3,3,7.4,68.8
266,2008-07-22,77,63,70,-4,59,64,0,5,0.0,29.31,30.0,8.2,3,8.7,68.1
267,2008-07-23,81,60,71,-3,52,60,0,6,0.0,29.39,30.1,7.6,2,8.5,50.9
268,2008-07-24,82,59,71,-3,53,61,0,6,0.0,29.33,30.05,3.9,24,4.4,53.0
